"cmc","description","numOfColors","numOfReprints","power","rarity","toughness","keywords","releaseDate","price"
"0","","2","2","0","12","0","[]","735328","2.44"
"5","","1","2","0","12","0","[]","735328","0.32"
"9","","1","3","4.0","12","5.0","[]","735328","0.54"
"5","","2","2","2.0","12","3.0","[]","735328","1.49"
"1","","1","2","0","12","0","[]","735328","0.32"
"5","","1","2","3.0","12","5.0","[]","735328","0.62"
"6","","1","2","7.0","12","7.0","[]","735328","1.39"
"3","","1","2","0","12","0","[]","735328","4.99"
"3","","1","2","2.0","12","4.0","[]","735328","6.82"
"4","","2","3","4.0","12","5.0","[]","735328","0.99"
"4","","1","2","0","12","0","[]","735328","3.49"
"2","whenever you cast an artifact spell you may pay . if you do this deals 1 damage to target creature or player.","1","1","2.0","5","1.0","[]","733951","0.20"
"5","trample whenever an artifact is put into a graveyard from the battlefield this gets +2/+0 until end of turn.","1","1","5.0","1","3.0","[u'Trample']","733951","0.18"
"2","when this is put into a graveyard from the battlefield it deals 2 damage to target creature or player.","0","1","1.0","1","1.0","[]","733951","0.32"
"2","flying infect","1","2","1.0","1","1.0","[u'Infect', u'Flying']","733951","0.35"
"4","imprint — when this enters the battlefield you may exile an artifact card from your hand. put a token that's a copy of the exiled card onto the battlefield. x is the converted mana cost of that card.","0","1","0","14","0","[u'Imprint']","733951","1.00"
"7","whenever this blocks or becomes blocked by a creature destroy that creature. you gain life equal to that creature's toughness.","1","1","7.0","14","7.0","[]","733951","1.23"
"3","at the beginning of your upkeep put a 2/2 white cat creature token onto the battlefield for each equipment attached to this.","1","2","2.0","14","4.0","[]","733951","0.43"
"1","whenever equipped creature becomes blocked by a creature you may draw two cards. equip","0","1","0","5","0","[]","733951","0.32"
"1","switch target creature's power and toughness until end of turn. draw a card.","1","1","0","5","0","[]","733951","1.31"
"1"," metalcraft — this deals 4 damage to that creature or player instead if you control three or more artifacts.","1","1","0","1","0","[u'Metalcraft']","733951","0.81"
"5","exile target permanent you own. return it to the battlefield under your control at the beginning of the next end step. creatures are unblockable this turn. you get an emblem with "" whenever you cast a spell exile target permanent.""","2","2","0","18","0","[]","733951","14.99"
"2","flying metalcraft — whenever this deals combat damage to a player if you control three or more artifacts that player puts the top four cards of his or her library into his or her graveyard.","1","1","1.0","1","2.0","[u'Flying', u'Metalcraft']","733951","0.18"
"5","metalcraft — when this enters the battlefield if you control three or more artifacts target player loses 4 life and you gain 4 life.","1","1","4.0","1","3.0","[u'Metalcraft']","733951","0.16"
"2","players can't search libraries. any player may pay for that player to ignore this effect until end of turn.","1","1","2.0","14","2.0","[]","733951","3.30"
"3","when this enters the battlefield target creature gets +2/+0 until end of turn.","1","1","2.0","1","2.0","[]","733951","0.18"
"2","equipped creature has flying and first strike. equip","0","1","0","1","0","[u'Flying', u'First strike']","733951","0.19"
"5"," put a charge counter on this. remove a charge counter from this: draw a card.","1","1","0","5","0","[]","733951","0.22"
"3","artifact creatures you control get +2/+2.","1","2","0","14","0","[]","733951","1.92"
"1","target creature gets +1/+0 and gains infect until end of turn.","1","1","0","1","0","[u'Infect']","733951","0.37"
"5","when this enters the battlefield put two 3/3 colorless golem artifact creature tokens onto the battlefield. whenever a player casts an instant or sorcery spell that targets only a single golem that player copies that spell for each other golem that spell could target. each copy targets a different one of those golems.","0","2","3.0","14","3.0","[]","733951","0.22"
"7","when this enters the battlefield put four 1/1 colorless myr artifact creature tokens onto the battlefield. whenever this attacks you may tap x untapped myr you control. if you do this gets + x/+0 until end of turn and deals x damage to defending player.","0","3","4.0","14","7.0","[]","733951","0.57"
"5","you gain 1 life for each creature you control. put three 1/1 white soldier creature tokens onto the battlefield. destroy all other permanents except","1","1","0","18","0","[]","733951","10.90"
"3","sacrifice this: return target creature to its owner's hand.","1","1","1.0","1","4.0","[]","733951","0.18"
"2","add to your mana pool.","1","3","1.0","1","1.0","[]","733951","0.19"
"2","when this enters the battlefield put a -1/-1 counter on target creature. proliferate.","0","3","0","5","0","[u'Proliferate']","733951","0.37"
"2"," put a charge counter on this. remove a charge counter from this: target creature gets +3/+0 until end of turn.","1","1","0","5","0","[]","733951","0.22"
"2","whenever a land enters the battlefield under an opponent's control if that player had another land enter the battlefield under his or her control this turn this deals 3 damage to that player.","1","1","2.0","14","1.0","[]","733951","0.39"
"5","sacrifice an artifact: this deals 2 damage to target creature or player.","1","1","3.0","5","3.0","[]","733951","0.21"
"0","when this enters the battlefield you gain 1 life for each locus on the battlefield. add to your mana pool.","0","1","0","1","0","[]","733951","0.23"
"6","","1","1","6.0","1","5.0","[]","733951","0.18"
"6","equipped creature gets +6/+6. whenever equipped creature attacks destroy target permanent. equip","0","2","0","14","0","[]","733951","1.03"
"6","deathtouch lifelink when this is put into a graveyard from the battlefield put a 3/3 colorless wurm artifact creature token with deathtouch and a 3/3 colorless wurm artifact creature token with lifelink onto the battlefield.","0","3","6.0","18","6.0","[u'Deathtouch', u'Lifelink']","733951","15.98"
"0"," add or to your mana pool.","2","1","0","14","0","[]","733951","16.10"
"3","target player sacrifices an attacking creature. metalcraft — that player sacrifices two attacking creatures instead if you control three or more artifacts.","1","1","0","5","0","[u'Metalcraft']","733951","0.20"
"3","counter target artifact spell. draw a card.","1","1","0","5","0","[]","733951","0.20"
"3"," remove a charge counter from this: target player loses 2 life.","0","1","0","1","0","[]","733951","0.18"
"4","the controller of target artifact sacrifices it then reveals cards from the top of his or her library until he or she reveals an artifact card. that player puts that card onto the battlefield then shuffles all other cards revealed this way into his or her library.","1","1","0","14","0","[]","733951","0.69"
"0"," add or to your mana pool.","2","1","0","14","0","[]","733951","19.65"
"3","sacrifice an artifact: this gets +3/+0 until end of turn.","1","1","2.0","1","2.0","[]","733951","0.19"
"3","infect","1","1","2.0","1","3.0","[u'Infect']","733951","0.19"
"4","equipped creature gets +2/+2 and has infect. whenever this becomes unattached from a permanent sacrifice that permanent. equip","0","1","0","5","0","[u'Infect', u'Graft']","733951","0.32"
"2","prevent the next 1 damage that would be dealt to target creature or player this turn. prevent the next 2 damage that would be dealt to target artifact creature this turn.","1","1","1.0","5","1.0","[]","733951","0.21"
"3","imprint — when this enters the battlefield search your library for a land card exile it then shuffle your library. equipped creature gets +1/+1 for each land on the battlefield with the same name as the exiled card. equip","0","2","0","14","0","[u'Imprint']","733951","0.26"
"5","flying haste metalcraft — : return this from your graveyard to the battlefield. activate this ability only during your upkeep and only if you control three or more artifacts.","1","1","4.0","14","4.0","[u'Flying', u'Haste', u'Metalcraft']","733951","0.37"
"5","creatures you control can't be the targets of spells or abilities your opponents control. regenerate target creature.","1","1","0","14","0","[]","733951","10.10"
"1","target creature gains flying until end of turn. untap it.","1","1","0","1","0","[u'Flying']","733951","0.18"
"6","sacrifice a creature: regenerate this.","1","1","6.0","5","3.0","[]","733951","0.20"
"3","swampwalk when this is put into a graveyard from the battlefield each opponent loses 2 life.","1","2","2.0","1","2.0","[u'Swampwalk']","733951","0.18"
"5","","1","1","6.0","1","1.0","[]","733951","0.18"
"3","sacrifice this: this deals 3 damage to target player.","1","1","3.0","1","1.0","[]","733951","0.18"
"5","","0","1","4","14","4","[u'Indestructible']","733951","1.27"
"1","target creature you control deals damage equal to its power to target creature with flying.","1","1","0","1","0","[u'Flying']","733951","0.18"
"2","put a charge counter on this. target player puts the top x cards of his or her library into his or her graveyard where x is the number of charge counters on this.","0","2","0","14","0","[]","733951","0.34"
"3","infect","1","1","2.0","1","2.0","[u'Infect']","733951","0.21"
"1","sacrifice this: put a 1/1 colorless myr artifact creature token onto the battlefield. when this is put into a graveyard from the battlefield you may pay . if you do draw a card.","1","1","0","1","0","[]","733951","0.18"
"6","flying when this enters the battlefield destroy all tapped creatures.","1","4","4.0","14","5.0","[u'Flying']","733951","0.37"
"4","put two 1/1 green insect creature tokens with infect onto the battlefield.","1","1","0","5","0","[u'Infect']","733951","0.39"
"2","return target nonland permanent to its owner's hand.","1","5","0","1","0","[]","733951","0.19"
"2","exile target artifact or enchantment.","1","3","0","1","0","[]","733951","0.25"
"4","put a -1/-1 counter on target creature. draw a card.","1","2","0","1","0","[]","733951","0.20"
"4","flying when this is put into a graveyard from the battlefield draw a card.","1","1","2.0","5","4.0","[u'Flying']","733951","0.20"
"2","metalcraft — this gets +2/+2 as long as you control three or more artifacts.","1","1","2.0","1","2.0","[u'Metalcraft']","733951","0.26"
"2","equipped creature gets +2/+0 and has "" whenever this creature becomes the target of a spell this creature deals 2 damage to target creature or player."" equip","0","1","0","14","0","[]","733951","0.43"
"1","counter target spell that targets a permanent you control.","1","2","0","1","0","[]","733951","0.24"
"4","untap target mountain. it becomes a 4/4 red elemental creature until end of turn. it's still a land. add to your mana pool for each mountain you control. you get an emblem with "" mountains you control have ‘ : this land deals 1 damage to target creature or player.'""","1","2","0","18","0","[]","733951","13.67"
"3","enchant artifact whenever enchanted artifact becomes tapped its controller gets a poison counter.","1","1","0","1","0","[]","733951","0.18"
"2","sacrifice a creature: this gains flying until end of turn.","1","1","2.0","1","1.0","[u'Flying']","733951","0.19"
"3","enchant creature enchanted creature can't attack or block and its activated abilities can't be activated.","1","6","0","1","0","[]","733951","0.19"
"3","infect when this enters the battlefield each player gets a poison counter.","1","1","2.0","5","1.0","[u'Infect']","733951","0.32"
"2","add to your mana pool.","1","3","1.0","1","1.0","[]","733951","0.20"
"2","whenever you cast an artifact spell you may pay . if you do put a 1/1 colorless myr artifact creature token onto the battlefield.","1","2","2.0","5","1.0","[]","733951","0.25"
"3","add to your mana pool. spend this mana only to cast myr spells or activate abilities of myr. return target myr card from your graveyard to your hand.","0","1","0","14","0","[]","733951","0.32"
"6","creatures you control have double strike and lifelink.","1","2","0","14","0","[u'Double strike', u'Lifelink']","733951","2.19"
"5","you have no maximum hand size. at the beginning of your upkeep you gain 1 life for each card in your hand.","0","1","0","14","0","[]","733951","3.99"
"2","metalcraft — this has double strike as long as you control three or more artifacts.","1","1","2.0","5","2.0","[u'Double strike', u'Metalcraft']","733951","0.21"
"5","whenever an opponent casts a spell that player loses 5 life unless he or she discards a card.","1","1","0","14","0","[]","733951","3.12"
"2","equipped creature can block an additional creature. equip","0","1","0","1","0","[]","733951","0.19"
"5","reach when this enters the battlefield you may destroy target equipment.","1","1","3.0","5","5.0","[u'Reach']","733951","0.21"
"1","flying when this enters the battlefield sacrifice it unless you return an artifact you control to its owner's hand.","1","1","2.0","1","2.0","[u'Flying']","733951","0.26"
"2","target permanent becomes an artifact in addition to its other types until end of turn.","0","2","0","5","0","[]","733951","0.88"
"3","","1","1","3.0","1","2.0","[]","733951","0.18"
"0","","0","2","1.0","5","1.0","[]","733951","1.00"
"2","target creature gains protection from artifacts until end of turn. draw a card.","1","1","0","1","0","[u'Protection']","733951","0.18"
"7","you may have this enter the battlefield as a copy of any creature on the battlefield except it's still 7/7.","1","1","7.0","18","7.0","[]","733951","0.61"
"2","whenever another artifact enters the battlefield under your control you may have this become a 2/2 artifact creature with flying until end of turn.","1","2","0","1","0","[u'Flying']","733951","0.17"
"4","vigilance when this enters the battlefield exile another target permanent. return that card to the battlefield under its owner's control at the beginning of the next end step.","1","3","3.0","5","3.0","[u'Vigilance']","733951","0.18"
"3","","1","1","1.0","1","5.0","[]","733951","0.20"
"1","target creature gets + x/+ x until end of turn.","1","1","0","1","0","[]","733951","0.18"
"3","regenerate another target elf. elf creatures you control get +3/+3 and gain trample until end of turn.","1","2","2.0","14","2.0","[u'Trample']","733951","5.14"
"3","each player shuffles the cards from his or her hand into his or her library then draws that many cards. metalcraft — if you control three or more artifacts this deals damage to each opponent equal to the number of cards that player has drawn this turn.","1","1","0","14","0","[u'Metalcraft']","733951","0.41"
"2","target player discards a card. if a land card is discarded this way return this to its owner's hand.","1","1","0","1","0","[]","733951","0.18"
"1","at the beginning of your upkeep you may put a charge counter on this. sacrifice this: you gain life equal to the number of charge counters on this.","0","1","0","1","0","[]","733951","0.17"
"5","intimidate other green creatures you control have intimidate.","1","1","4.0","5","4.0","[u'Intimidate']","733951","0.28"
"1","target creature gains double strike until end of turn.","1","1","0","1","0","[u'Double strike']","733951","0.64"
"4"," put a charge counter on this. remove a charge counter from this: put a -1/-1 counter on target creature.","1","1","0","5","0","[]","733951","0.21"
"5","untap this.","1","1","3.0","1","4.0","[]","733951","0.18"
"3","whenever you sacrifice another permanent you may pay . if you do this deals 2 damage to target creature or player.","1","2","0","5","0","[]","733951","0.20"
"7","","1","1","5.0","1","5.0","[]","733951","0.18"
"3","metalcraft — this has protection from all colors as long as you control three or more artifacts.","0","2","2.0","14","2.0","[u'Protection', u'Champion', u'Metalcraft']","733951","4.16"
"6","flash vigilance","0","1","3.0","5","3.0","[u'Vigilance', u'Flash', u'Indestructible']","733951","0.22"
"1","sacrifice this: return target artifact card from your graveyard to your hand.","1","1","1.0","1","1.0","[]","733951","0.18"
