"cmc","0.0","numOfColors","numOfReprints","power","rarity","toughness","keywords","releaseDate","price"
"0","0","2","2","0","12","0","[]","735328","2.44"
"5","0","1","2","0","12","0","[]","735328","0.32"
"9","0","1","3","4.0","12","5.0","[]","735328","0.54"
"5","0","2","2","2.0","12","3.0","[]","735328","1.49"
"1","0","1","2","0","12","0","[]","735328","0.32"
"5","0","1","2","3.0","12","5.0","[]","735328","0.62"
"6","0","1","2","7.0","12","7.0","[]","735328","1.39"
"3","0","1","2","0","12","0","[]","735328","4.99"
"3","0","1","2","2.0","12","4.0","[]","735328","6.82"
"4","0","2","3","4.0","12","5.0","[]","735328","0.99"
"4","0","1","2","0","12","0","[]","735328","3.49"
"3","0","1","7","0","12","0","[]","732194","0.00"
"4","3.1139701770736252","0","4","2.0","1","2.0","[u'Affinity']","731397","0.27"
"2","32.00440675292592","0","3","1.0","5","1.0","[]","731397","0.36"
"7","57.267222681067146","1","2","0","14","0","[u'Entwine']","731397","18.97"
"2","285.28314224847765","1","3","1.0","1","1.0","[]","731397","0.21"
"1","17.133432889143208","1","1","0","1","0","[]","731397","0.19"
"0","285.28314224847765","0","4","0","5","0","[]","731397","0.22"
"3","42.54389484572256","1","1","0","14","0","[u'Flip']","731397","1.99"
"2","0","0","1","1.0","1","2.0","[]","731397","0.17"
"7","0","1","3","8.0","14","8.0","[]","731397","0.32"
"3","12.048163939280457","0","9","1.0","5","3.0","[]","731397","0.23"
"4","20.245975452255433","0","1","3.0","1","1.0","[]","731397","0.20"
"4","144.68945951611178","1","1","3.0","14","2.0","[u'First strike']","731397","0.84"
"1","21.559264748409205","1","1","0","1","0","[]","731397","0.18"
"3","52.21691165829904","0","1","0","5","0","[u'Storm']","731397","0.20"
"2","7.819587559818855","0","1","0","1","0","[]","731397","0.18"
"5","3.417367205542727","1","1","4.0","1","4.0","[u'Trample']","731397","0.19"
"4","43.774967843633746","1","3","0","14","0","[]","731397","0.70"
"0","285.28314224847765","1","2","0","1","0","[]","731397","0.98"
"6","3.1139701770736252","1","2","3.0","1","2.0","[u'Flying', u'Affinity']","731397","0.18"
"1","21.49172778071622","0","1","0","14","0","[]","731397","0.37"
"2","197.50546844953794","2","1","0","5","0","[]","731397","2.84"
"3","0","1","2","1.0","1","3.0","[u'Flying']","731397","0.19"
"3","24.060627594233676","1","1","0","5","0","[]","731397","0.20"
"8","17.612627755194","1","4","6.0","14","6.0","[u'Flying']","731397","1.31"
"3","67.28118806098409","1","1","0","1","0","[]","731397","0.19"
"0","7.6033111766947545","0","1","0","1","0","[]","731397","1.28"
"5","65.04478091887121","1","1","2.0","14","2.0","[u'Haste']","731397","0.35"
"2","9.790081875061064","1","1","1.0","5","1.0","[]","731397","0.22"
"2","197.50546844953794","2","1","0","5","0","[]","731397","1.72"
"4","37.80967550093849","0","1","0","14","0","[u'Imprint']","731397","2.97"
"4","10.441858489590546","0","1","0","14","0","[]","731397","0.35"
"4","32.95403490593654","1","1","2.0","1","3.0","[u'Scavenge']","731397","0.17"
"3","29.937259498672848","1","1","1.0","5","2.0","[u'Flying']","731397","0.23"
"6","28.55816288231248","1","1","3.0","5","3.0","[u'Flying']","731397","0.21"
"2","285.28314224847765","1","3","1.0","1","1.0","[]","731397","0.19"
"3","20.771529094534557","1","1","2.0","1","2.0","[u'Flying']","731397","0.19"
"5","38.12128703775845","0","3","0","14","0","[]","731397","10.99"
"5","11.626250399086056","1","2","3.0","1","3.0","[]","731397","0.18"
"0","190.78334741937226","0","1","0","5","0","[]","731397","0.23"
"3","22.877813747191702","1","2","0","5","0","[]","731397","0.28"
"2","12.780029450099619","1","8","0","1","0","[]","731397","0.43"
"3","15.948944495654581","1","1","0","5","0","[u'Trample']","731397","0.21"
"0","3.249079663532902","0","11","0.0","5","2.0","[u'Flying']","731397","0.40"
"2","197.50546844953794","2","1","0","5","0","[]","731397","0.25"
"1","0","0","2","0.0","1","4.0","[]","731397","0.24"
"1","7.994516843117344","0","2","0","1","0","[]","731397","0.18"
