"cmc","0.0","numOfColors","numOfReprints","power","rarity","toughness","keywords","releaseDate","price"
"0","0","2","2","0","12","0","0","735328","2.44"
"5","0","1","2","0","12","0","0","735328","0.32"
"5","0","2","2","2.0","12","3.0","0","735328","1.49"
"1","0","1","2","0","12","0","0","735328","0.32"
"5","0","1","2","3.0","12","5.0","0","735328","0.62"
"6","0","1","2","7.0","12","7.0","0","735328","1.39"
"3","0","1","2","0","12","0","0","735328","4.99"
"3","0","1","2","2.0","12","4.0","0","735328","6.82"
"4","0","2","3","4.0","12","5.0","0","735328","0.99"
"4","0","1","2","0","12","0","0","735328","3.49"
"2","25.85430213423148","1","1","2.0","5","1.0","0","733951","0.20"
"5","37.050933697877035","1","1","5.0","1","3.0","2.063905191873596","733951","0.18"
"2","25.237854538730797","0","1","1.0","1","1.0","0","733951","0.32"
"2","5.543365377818616","1","2","1.0","1","1.0","3.3923488975816367","733951","0.35"
"7","14.65483242454832","1","1","7.0","14","7.0","0","733951","1.23"
"1","22.630867471921817","0","1","0","5","0","0","733951","0.32"
"1","18.97901327925768","1","1","0","5","0","0","733951","1.31"
"1","36.69658748971991","1","1","0","1","0","5.418205128205128","733951","0.81"
"5","27.501386307614005","2","2","0","18","0","0","733951","14.99"
"2","76.26974141249568","1","1","1.0","1","2.0","7.255481562018649","733951","0.18"
"5","40.42717221755644","1","1","4.0","1","3.0","5.418205128205128","733951","0.16"
"2","33.69932501516017","1","1","2.0","14","2.0","0","733951","3.30"
"3","13.869705371404201","1","1","2.0","1","2.0","0","733951","0.18"
"2","5.363898904876264","0","1","0","1","0","1.8372764338135212","733951","0.19"
"5","12.659238009431213","1","1","0","5","0","0","733951","0.22"
"3","18.09211865216386","1","2","0","14","0","0","733951","1.92"
"1","10.522075980433037","1","1","0","1","0","1.5550724637681155","733951","0.37"
"7","16.303366480721078","0","3","4.0","14","7.0","0","733951","0.57"
"5","15.490551223732679","1","1","0","18","0","0","733951","10.90"
"3","19.81513951055777","1","1","1.0","1","4.0","0","733951","0.18"
"2","285.28314224847765","1","3","1.0","1","1.0","0","733951","0.19"
"2","12.623136076354522","1","1","0","5","0","0","733951","0.22"
"2","41.14998260324111","1","1","2.0","14","1.0","0","733951","0.39"
"5","18.487645240554542","1","1","3.0","5","3.0","0","733951","0.21"
"0","150.79852423843155","0","1","0","1","0","0","733951","0.23"
"6","0","1","1","6.0","1","5.0","0","733951","0.18"
"6","11.707963008110525","0","2","0","14","0","0","733951","1.03"
"6","82.20719721093403","0","3","6.0","18","6.0","3.321104931405264","733951","15.98"
"0","281.2349279627634","2","1","0","14","0","0","733951","16.10"
"3","8.689987002357697","1","1","0","5","0","0","733951","0.20"
"3","13.502851850689359","0","1","0","1","0","0","733951","0.18"
"4","61.621355705253684","1","1","0","14","0","0","733951","0.69"
"0","281.2349279627634","2","1","0","14","0","0","733951","19.65"
"3","11.977059799823845","1","1","2.0","1","2.0","0","733951","0.19"
"3","1.4125","1","1","2.0","1","3.0","1.5550724637681155","733951","0.19"
"4","9.67667503805115","0","1","0","5","0","2.032259963768116","733951","0.32"
"2","12.256417996962288","1","1","1.0","5","1.0","0","733951","0.21"
"3","32.28648205373417","0","2","0","14","0","3.9497058823529407","733951","0.26"
"5","31.765250785204618","1","1","4.0","14","4.0","8.866555582337956","733951","0.37"
"5","16.083558515797325","1","1","0","14","0","0","733951","10.10"
"1","8.057071219024042","1","1","0","1","0","1.8372764338135212","733951","0.18"
"6","5.581459879770127","1","1","6.0","5","3.0","0","733951","0.20"
"3","16.788203325349432","1","2","2.0","1","2.0","0.9690000000000002","733951","0.18"
"5","0","1","1","6.0","1","1.0","0","733951","0.18"
"3","16.959629361208876","1","1","3.0","1","1.0","0","733951","0.18"
"5","0","0","1","4","14","4","5.1707534246575335","733951","1.27"
"1","18.101895042746715","1","1","0","1","0","1.8372764338135212","733951","0.18"
"2","46.15139102487394","0","2","0","14","0","0","733951","0.34"
"3","1.4125","1","1","2.0","1","2.0","1.5550724637681155","733951","0.21"
"1","23.10880541134299","1","1","0","1","0","0","733951","0.18"
"6","18.412161968291084","1","4","4.0","14","5.0","1.8372764338135212","733951","0.37"
"4","12.063936998757965","1","1","0","5","0","1.5550724637681155","733951","0.39"
"2","9.699367643888642","1","5","0","1","0","0","733951","0.19"
"2","5.458168767405759","1","3","0","1","0","0","733951","0.25"
"4","20.07581469476012","1","1","2.0","5","4.0","1.8372764338135212","733951","0.20"
"2","33.02269579107578","1","1","2.0","1","2.0","5.418205128205128","733951","0.26"
"2","19.633591339858864","0","1","0","14","0","0","733951","0.43"
"1","16.798480134290628","1","2","0","1","0","0","733951","0.24"
